chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1742634216,2025-03-22T09:03:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634250,2025-03-22T09:04:10Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634275,2025-03-22T09:04:35Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634285,2025-03-22T09:04:45Z,HG4HNA-1,HG7PDK-2,5(2/2),0,@,HG4HNA-1,/#,47.258500,18.596833,,,,,,,SQ3PLX http://microsat.com.pl/,,," Meleg-hegy (ASL: 352m) - APRS IGate & Digi - HAMNET: 2392MHz,5MHz BW,Ver."
0,1742634306,2025-03-22T09:05:06Z,HG2PPA-2,HG7PDK-2?,5(2/2),0,=,HG2PPA-2,1#,47.645000,18.421667,,,159.7,,,,"DIXPRS - Bela, HA5DI",,,DIXPRS 2.4.0-beta3 sysop:HA2IT qth:Oregkovacshegy
0,1742634307,2025-03-22T09:05:07Z,HG2PPA-2,HG7PDK-2?,5(2/2),0,<,HG2PPA-2,/U,,,,,,,,,"DIXPRS - Bela, HA5DI",,,"IGATE,MSG_CNT=0,LOC_CNT=10,DIR_CNT=10,RF_CNT=54,RFPORT_ID=0"
0,1742634335,2025-03-22T09:05:35Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634341,2025-03-22T09:05:41Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634394,2025-03-22T09:06:34Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634402,2025-03-22T09:06:42Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634440,2025-03-22T09:07:20Z,HG7PDK-2,HG7PDK-2,6(2/2),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634440,2025-03-22T09:07:20Z,HG7PDK-2,HG7PDK-2,5(2/2),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634441,2025-03-22T09:07:21Z,HG7PDK-2,HG7PDK-2,5(2/2),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
